departamento,r_pc_hogares_total_2018,r_pc_hogares_total_2018.cve,r_pc_sininteres_total_2018,r_pc_sininteres_total_2018.cve,r_pc_nosabe_total_2018,r_pc_nosabe_total_2018.cve,r_pc_costoso_total_2018,r_pc_costoso_total_2018.cve,r_pc_otro_total_2018,r_pc_otro_total_2018.cve,r_pc_hogares_cabecera_2018,r_pc_hogares_cabecera_2018.cve,r_pc_sininteres_cabecera_2018,r_pc_sininteres_cabecera_2018.cve,r_pc_nosabe_cabecera_2018,r_pc_nosabe_cabecera_2018.cve,r_pc_costoso_cabecera_2018,r_pc_costoso_cabecera_2018.cve,r_pc_otro_cabecera_2018,r_pc_otro_cabecera_2018.cve,r_pc_hogares_centro_2018,r_pc_hogares_centro_2018.cve,r_pc_sininteres_centro_2018,r_pc_sininteres_centro_2018.cve,r_pc_nosabe_centro_2018,r_pc_nosabe_centro_2018.cve,r_pc_costoso_centro_2018,r_pc_costoso_centro_2018.cve,r_pc_otro_centro_2018,r_pc_otro_centro_2018.cve,r_pc_hogares_total_2019,r_pc_hogares_total_2019.cve,r_pc_sininteres_total_2019,r_pc_sininteres_total_2019.cve,r_pc_nosabe_total_2019,r_pc_nosabe_total_2019.cve,r_pc_costoso_total_2019,r_pc_costoso_total_2019.cve,r_pc_otro_total_2019,r_pc_otro_total_2019.cve,r_pc_hogares_cabecera_2019,r_pc_hogares_cabecera_2019.cve,r_pc_sininteres_cabecera_2019,r_pc_sininteres_cabecera_2019.cve,r_pc_nosabe_cabecera_2019,r_pc_nosabe_cabecera_2019.cve,r_pc_costoso_cabecera_2019,r_pc_costoso_cabecera_2019.cve,r_pc_otro_cabecera_2019,r_pc_otro_cabecera_2019.cve,r_pc_hogares_centro_2019,r_pc_hogares_centro_2019.cve,r_pc_sininteres_centro_2019,r_pc_sininteres_centro_2019.cve,r_pc_nosabe_centro_2019,r_pc_nosabe_centro_2019.cve,r_pc_costoso_centro_2019,r_pc_costoso_centro_2019.cve,r_pc_otro_centro_2019,r_pc_otro_centro_2019.cve,r_pc_hogares_total_2022,r_pc_hogares_total_2022.cve,r_pc_sininteres_total_2022,r_pc_sininteres_total_2022.cve,r_pc_nosabe_total_2022,r_pc_nosabe_total_2022.cve,r_pc_costoso_total_2022,r_pc_costoso_total_2022.cve,r_pc_otro_total_2022,r_pc_otro_total_2022.cve,r_pc_hogares_cabecera_2022,r_pc_hogares_cabecera_2022.cve,r_pc_sininteres_cabecera_2022,r_pc_sininteres_cabecera_2022.cve,r_pc_nosabe_cabecera_2022,r_pc_nosabe_cabecera_2022.cve,r_pc_costoso_cabecera_2022,r_pc_costoso_cabecera_2022.cve,r_pc_otro_cabecera_2022,r_pc_otro_cabecera_2022.cve,r_pc_hogares_centro_2022,r_pc_hogares_centro_2022.cve,r_pc_sininteres_centro_2022,r_pc_sininteres_centro_2022.cve,r_pc_nosabe_centro_2022,r_pc_nosabe_centro_2022.cve,r_pc_costoso_centro_2022,r_pc_costoso_centro_2022.cve,r_pc_otro_centro_2022,r_pc_otro_centro_2022.cve,r_pc_hogares_total_2023,r_pc_hogares_total_2023.cve,r_pc_sininteres_total_2023,r_pc_sininteres_total_2023.cve,r_pc_nosabe_total_2023,r_pc_nosabe_total_2023.cve,r_pc_costoso_total_2023,r_pc_costoso_total_2023.cve,r_pc_otro_total_2023,r_pc_otro_total_2023.cve,r_pc_hogares_cabecera_2023,r_pc_hogares_cabecera_2023.cve,r_pc_sininteres_cabecera_2023,r_pc_sininteres_cabecera_2023.cve,r_pc_nosabe_cabecera_2023,r_pc_nosabe_cabecera_2023.cve,r_pc_costoso_cabecera_2023,r_pc_costoso_cabecera_2023.cve,r_pc_otro_cabecera_2023,r_pc_otro_cabecera_2023.cve,r_pc_hogares_centro_2023,r_pc_hogares_centro_2023.cve,r_pc_sininteres_centro_2023,r_pc_sininteres_centro_2023.cve,r_pc_nosabe_centro_2023,r_pc_nosabe_centro_2023.cve,r_pc_costoso_centro_2023,r_pc_costoso_centro_2023.cve,r_pc_otro_centro_2023,r_pc_otro_centro_2023.cve
total_nacional,9046.89,0.0094,2724.77,0.0151,1310.09,0.0211,4780.31,0.0126,231.72,0.0513,5928.24,0.014,1804.71,0.0216,752.17,0.0347,3214.98,0.0183,156.37,0.0726,3118.65,0.0038,920.05,0.0118,557.92,0.0151,1565.33,0.0078,75.34,0.0433,10039.2,0.009,3347.72,0.015,1458.02,0.021,5012.81,0.014,220.66,0.056,6600.3,0.014,2228.43,0.021,814,0.034,3400.83,0.019,157.03,0.074,3438.9,0.005,1119.29,0.013,644.02,0.017,1611.97,0.011,63.63,0.065,11561.31536,0.846,3314.464817,1.46,1470.280612,1.944,6631.368768,1.12,145.2011674,6.855,7914.445615,1.323,2318.915335,2.107,893.8581055,3.072,4598.88387,1.667,102.7883038,9.305,3646.869749,1.236,995.5494811,1.74,576.4225066,1.984,2032.484898,1.444,42.41286364,6.949,11877.71522,0.00852,3204.12876,0.0146,1646.409637,0.02069,6885.341367,0.01125,141.8354563,0.09064,8166.438502,0.01233,2209.951429,0.02061,1062.182673,0.03087,4782.637227,0.01597,111.6671733,0.1131,3711.276718,0.0042,994.1773315,0.01321,584.226964,0.01674,2102.70414,0.00718,30.16828295,0.08443
amazonas,19.35,0.023,8.05,0.052,5.19,0.066,5.73,0.059,0.38,0.201,5.83,0.036,2.9,0.06,1.08,0.1,1.69,0.111,0.16,0.293,13.52,0.028,5.15,0.073,4.11,0.079,4.04,0.069,0.22,0.274,20.45,0.022,8.99,0.04,2.05,0.089,8.53,0.05,0.87,0.181,10.45,0.035,4.92,0.052,0.37,0.206,4.98,0.067,0.18,0.309,9.99,0.025,4.07,0.061,1.68,0.1,3.55,0.074,0.7,0.213,18.41453684,2.781,5.48413041,7.923,0.90061927,15.735,11.85347133,4.344,0.17631583,32.804,9.51875353,7.163,3.04327478,12.591,0.4093552,25.162,6.01050148,8.434,0.05562207,45.23,8.89578331,4.93,2.44085563,11.318,0.49126407,21.586,5.84296986,6.911,0.12069376,43.268,22.33487408,0.0228,9.61323507,0.04592,1.7952096,0.11163,10.23968419,0.04254,0.68674522,0.20003,13.12658441,0.03403,5.60111844,0.06615,1.01615014,0.1537,5.83400529,0.06235,0.67531054,0.20315,9.20828967,0.03027,4.01211664,0.06298,0.77905946,0.16227,4.40567889,0.05524,0.01143468,0.76606
antioquia,1209.22,0.029,421.91,0.0422,154.03,0.0678,609.5,0.0428,23.79,0.2383,804.13,0.0422,283.4,0.0545,96.58,0.0996,404.13,0.0629,20.02,0.2777,405.09,0.0156,138.51,0.0429,57.44,0.068,205.37,0.0304,3.77,0.2939,1243.45,0.034,431.59,0.073,176.03,0.093,616.18,0.049,19.64,0.193,890.49,0.045,333.02,0.09,113.04,0.135,431.99,0.063,12.45,0.258,352.95,0.033,98.57,0.068,62.99,0.078,184.19,0.052,7.2,0.273,1541.366659,3.117,528.2333459,4.535,184.3529958,8.275,811.4757768,4.257,17.30454061,21.463,1147.59054,4.453,392.50956,6.29,134.2591834,10.985,606.9935521,5.777,13.82824464,26.08,393.7761189,5.633,135.7237859,6.827,50.09381239,8.621,204.4822247,6.558,3.47629596,27.484,1601.483285,0.03003,506.8757533,0.0509,201.9905781,0.07775,866.2927244,0.04191,26.3242293,0.34514,1205.104917,0.03979,381.0067641,0.06708,140.6955889,0.10951,660.0043882,0.05439,23.39817601,0.38584,396.3783678,0.01421,125.8689892,0.04539,61.29498917,0.05896,206.2883362,0.02995,2.92605329,0.32099
arauca,75.8,0.02,25.61,0.053,8.38,0.074,40.48,0.035,1.33,0.209,44.48,0.027,15.52,0.072,3.81,0.106,24.58,0.045,0.56,0.263,31.33,0.025,10.09,0.08,4.56,0.102,15.9,0.055,0.77,0.309,89.67,0.017,37.17,0.041,9.47,0.065,42.37,0.038,0.67,0.348,53.69,0.024,18.17,0.075,4.44,0.097,30.67,0.048,0.42,0.4,35.98,0.014,19,0.033,5.03,0.089,11.7,0.049,0.25,0.648,101.2256371,2.246,13.78508963,7.734,8.8825362,8.461,78.17990756,2.686,0.37810374,44.16,56.73241897,5.809,8.20208258,9.879,4.3578548,14.132,43.90524875,6.479,0.26723283,55.382,44.49321816,7.473,5.58300704,14.235,4.5246814,12.125,34.27465881,7.795,0.11087091,69.359,100.4845692,0.01483,29.87096331,0.04543,11.00424245,0.06488,59.18719121,0.02613,0.42217217,0.41718,56.94112749,0.02607,14.6545189,0.07349,6.36588299,0.09073,35.55408053,0.03853,0.36664507,0.45698,43.54344166,0.01632,15.21644441,0.05713,4.63835946,0.10407,23.63311069,0.0354,0.0555271,1
atlantico,365.3,0.04,86.49,0.08,25.39,0.123,245.98,0.049,7.45,0.204,340.35,0.042,79.63,0.08,22.28,0.14,231.84,0.052,6.6,0.227,24.95,0.021,6.86,0.061,3.11,0.098,14.14,0.032,0.85,0.202,438.43,0.031,160.43,0.054,17.82,0.13,253.25,0.044,6.92,0.265,401.49,0.032,150.19,0.055,12.89,0.176,231.61,0.047,6.8,0.27,36.94,0.022,10.25,0.071,4.93,0.096,21.65,0.03,0.12,0.329,490.3027193,4.32,147.2114462,6.548,35.73395629,11.366,304.2151778,5.788,3.14213902,39.657,454.9226574,4.783,138.6544351,7.025,32.65484433,12.466,280.5370087,6.372,3.07636935,40.521,35.38006186,8.403,8.5570111,10.446,3.07911196,15.883,23.67816913,9.033,0.06576967,59.996,520.2628916,0.03729,123.2172984,0.10417,31.02480145,0.12393,361.3416873,0.04553,4.67910444,0.30554,483.5584565,0.04017,118.5563176,0.10821,27.46413732,0.13948,333.1177716,0.04942,4.42022996,0.32255,36.70443504,0.01991,4.66098074,0.08859,3.56066413,0.11434,28.22391568,0.02497,0.25887448,0.43849
bogota,876.55,0.072,272.89,0.106,189.97,0.112,381.98,0.105,31.7,0.243,872.06,0.0711,271.33,0.1059,189.05,0.1112,380.26,0.105,31.43,0.2448,4.49,0.02,1.56,0.065,0.93,0.073,1.73,0.058,0.28,0.175,980.15,0.067,289.37,0.088,145.21,0.117,510.52,0.094,35.06,0.203,972.45,0.067,287.82,0.087,143.44,0.118,506.27,0.095,34.92,0.204,7.71,0.023,1.55,0.087,1.77,0.075,4.25,0.047,0.14,0.272,1244.691862,5.852,374.8054068,8.064,142.4430784,11.192,706.458251,7.392,20.98512572,31.376,1237.206309,5.89,372.5021709,8.116,141.5591916,11.265,702.2043022,7.438,20.94064398,31.442,7.48555325,4.009,2.30323595,7.702,0.88388677,10.872,4.2539488,5.026,0.04448174,57.982,1250.231194,0.05767,225.4609046,0.10184,252.3290074,0.09458,747.7841451,0.07021,24.65713714,0.27914,1242.408458,0.05805,223.7493604,0.10263,251.3487751,0.09497,742.7758094,0.07069,24.53451278,0.28053,7.82273672,0.03269,1.71154426,0.08205,0.98023234,0.09637,5.00833576,0.04178,0.12262436,0.33914
bolivar,439.9,0.021,112.6,0.044,44.47,0.07,276.27,0.029,6.56,0.208,315.24,0.028,79.61,0.058,24.1,0.116,205.91,0.038,5.62,0.236,124.66,0.016,32.99,0.054,20.37,0.071,70.37,0.027,0.94,0.358,463.63,0.025,111.63,0.044,51.81,0.075,289.01,0.033,11.18,0.158,310.6,0.036,69.04,0.059,29.22,0.12,204.41,0.043,7.92,0.201,153.03,0.019,42.59,0.051,22.59,0.073,84.6,0.043,3.26,0.236,529.2735185,3.258,133.3028804,5.382,43.95490221,8.194,343.4613441,3.833,8.55439181,20.083,363.6849338,5.72,96.04323397,7.615,30.47058994,11.096,231.0897704,6.721,6.08133953,25.975,165.5885846,5.675,37.25964643,8.209,13.48431227,11.38,112.3715737,6.323,2.47305227,27.773,547.8900686,0.02058,125.5762268,0.05101,48.34353513,0.06406,370.7868317,0.02514,3.18347505,0.3315,377.4737171,0.02939,93.7406621,0.06468,30.54791889,0.09231,250.874567,0.03573,2.31056909,0.42288,170.4163516,0.01789,31.83556467,0.07421,17.79561624,0.07811,119.9122647,0.02286,0.87290595,0.45464
boyaca,289.04,0.018,105.64,0.032,54.72,0.048,124.17,0.031,4.5,0.194,129.26,0.035,45.53,0.051,20.92,0.092,59.78,0.052,3.03,0.238,159.78,0.016,60.11,0.041,33.81,0.053,64.39,0.036,1.48,0.339,330.92,0.02,113.35,0.04,78.89,0.049,135.74,0.042,2.95,0.275,158.55,0.035,59.71,0.056,26.49,0.101,70.11,0.061,2.24,0.339,172.37,0.015,53.64,0.048,52.4,0.05,65.62,0.048,0.71,0.439,316.6402317,1.86,117.6429657,3.375,50.5794467,5.534,144.815511,3.318,3.60230834,27.225,167.7963259,4.26,63.18315037,6.277,19.53987385,11.454,82.80888416,5.939,2.26441752,37.14,148.8439058,3.942,54.45981529,4.93,31.03957285,6.65,62.00662681,5.567,1.33789082,38.383,311.1960974,0.01708,101.696805,0.03898,47.33397927,0.05701,159.4690519,0.02833,2.69626118,0.23044,156.5826641,0.03128,51.3499855,0.06409,21.15828197,0.10462,81.88993608,0.04668,2.18446052,0.26641,154.6134333,0.01482,50.34681951,0.04535,26.17569731,0.05941,77.57911583,0.03197,0.51180066,0.42781
caldas,192.46,0.029,61.68,0.052,30.19,0.055,97.49,0.04,3.11,0.19,116.35,0.046,42.86,0.069,15.19,0.094,55.94,0.065,2.36,0.232,76.1,0.017,18.82,0.059,15,0.055,41.54,0.031,0.75,0.278,223.59,0.029,72.99,0.051,42.88,0.063,104.77,0.043,2.94,0.235,149.08,0.042,55.97,0.062,25.87,0.093,65.02,0.068,2.23,0.272,74.51,0.016,17.03,0.062,17.01,0.062,39.75,0.028,0.72,0.445,222.8802583,3.594,68.25817617,5.869,43.72500692,6.624,109.107401,5.505,1.78967419,30.085,153.1945952,6.208,50.4887012,8.343,29.17686063,10.4,72.66708188,8.817,0.86195151,48.042,69.68566303,7.213,17.76947497,10.139,14.54814629,10.162,36.44031909,8.52,0.92772269,38.654,228.2407877,0.02769,68.97680671,0.05586,39.23999681,0.06247,118.7158378,0.041,1.30814645,0.32303,158.1956812,0.03987,52.05629696,0.07156,25.72783207,0.08644,80.05550754,0.05894,0.3560446,0.71974,70.04510657,0.01999,16.92050975,0.06691,13.51216474,0.08192,38.66033022,0.03815,0.95210185,0.35136
caqueta,128.52,0.016,44.05,0.035,16.38,0.063,67,0.025,1.1,0.245,70.61,0.028,25.58,0.051,9.18,0.095,35.33,0.039,0.52,0.425,57.91,0.012,18.47,0.041,7.2,0.075,31.67,0.027,0.58,0.284,110.08,0.017,32.46,0.041,12.28,0.066,62.07,0.028,3.28,0.15,67.34,0.026,20.24,0.056,7.31,0.094,39.34,0.04,0.44,0.477,42.74,0.012,12.21,0.05,4.97,0.081,22.73,0.031,2.83,0.136,113.9796505,2.731,32.27811086,5.011,13.39436355,7.418,67.44187078,4.097,0.86530533,37.643,72.66533629,6.61,18.18685292,10.398,8.10761814,11.975,45.8903627,7.639,0.48050253,43.281,41.31431423,7.715,14.09125794,8.66,5.28674542,11.525,21.55150807,9.564,0.3848028,65.862,117.6604151,0.02196,39.20248834,0.05136,17.15478783,0.07561,61.0279943,0.03763,0.27514466,0.4578,78.11141315,0.03116,22.59272146,0.08302,11.94566745,0.10143,43.3225137,0.04849,0.25051054,0.49309,39.54900197,0.02544,16.60976688,0.0641,5.20912038,0.10417,17.70548059,0.06474,0.02463412,0.98022
