departamento,int_hogares_total_2018,r_int_costoso_total_2018,r_int_nonecesario_total_2018,r_int_nodispositivo_total_2018,r_int_otrosaccesos_total_2018,r_int_nosabe_total_2018,r_int_nocobertura_total_2018,r_int_otro_total_2018,int_hogares_total_2019,r_int_costoso_total_2019,r_int_nonecesario_total_2019,r_int_nodispositivo_total_2019,r_int_otrosaccesos_total_2019,r_int_nosabe_total_2019,r_int_nocobertura_total_2019,r_int_otro_total_2019,int_hogares_total_2022,r_int_costoso_total_2022,r_int_nonecesario_total_2022,r_int_nodispositivo_total_2022,r_int_otrosaccesos_total_2022,r_int_nosabe_total_2022,r_int_nocobertura_total_2022,r_int_otro_total_2022,int_hogares_total_2023,r_int_costoso_total_2023,r_int_nonecesario_total_2023,r_int_nodispositivo_total_2023,r_int_otrosaccesos_total_2023,r_int_nosabe_total_2023,r_int_nocobertura_total_2023,r_int_otro_total_2023
total_nacional,7334.42,3718.14,2024.22,280.29,144.04,516.37,567.33,84.03,7687.72,3893.94,2217.88,275.35,142.19,609.52,467.38,81.46,7103.92295,3730.29267,2076.34953,258.94024,61.76862,406.19115,368.01827,64.39962,6494.912262,3224.941454,2030.978475,299.4370024,38.45233306,335.8636538,287.0341092,50.84919733
amazonas,21.14,4.09,5.87,0.14,0.08,3.92,6.7,0.33,20.04,7.21,6.04,1.11,0.06,1.35,3.59,0.69,13.57757,7.34997,2.53101,1.00564,0.17895502,0.18305893,2.04277,0.02273489,19.04885013,5.36592255,7.82574512,1.96483302,0.08285968,0.47183324,1.55094039,0.09931368
antioquia,971.93,495.5,278,32.98,34.01,50.89,69.38,11.17,873.44,468.2,205.14,23.14,46.3,66.13,61.64,2.89,945.62505,472.99742,301.2994,28.45884,23.29211,43.8173,50.20371,7.39868,730.2716533,377.3052468,237.8908135,24.2737378,6.56466741,29.52649285,15.32437097,1.21165194
arauca,73.63,39.21,19.21,2.47,0.83,5.32,6.23,0.36,76.5,40.08,22.01,5.1,1.07,2.88,5.32,0.03,65.88461,44.24452,9.80151,1.51644,0.08215823,2.64124,5.84465,0,71.96717952,26.567789,31.80542992,0.95819176,0.22993729,3.4009103,6.49661884,0.09355779
atlantico,286.23,204.62,49.42,6.29,0.88,10.52,9.34,5.15,338.62,216.36,86.59,11.44,3.81,6.19,9.24,4.98,361.53528,240.33185,82.81874,9.25456,0.69882706,3.68599,19.08234,2.42608,325.4571764,233.3170896,56.62646125,8.99899109,0.5178777,6.08033758,9.32311077,2.14173776
bogota,688.21,355.19,247.6,37.38,16.66,15.37,8.91,7.1,675.06,368.06,214.74,12.56,7.92,40.18,11.08,20.52,604.8085,342.57931,205.32591,12.2908,1.89918,27.43136,0.53197696,9.11757,682.5913856,369.5892476,199.6192758,22.44909943,9.52049956,44.285419,7.70251371,6.00255008
bolivar,406.95,229.92,97.41,15.68,22.64,20.45,17.83,3.02,415.5,249.17,81.61,18.43,6.04,25.2,29.4,5.66,348.68377,180.81564,86.10191,21.88156,7.94682,10.19832,24.21355,3.05227,354.4101505,196.7644211,73.7580409,26.89385349,1.66302007,13.73676,12.56404474,0.85860874
boyaca,217.99,73.81,84.12,6.64,1.7,26.83,23.77,1.13,288.59,120.19,92.75,11.32,3.64,49.15,11.17,0.37,202.23228,88.43892,84.49698,6.42545,0.69141228,12.68279,5.63314,1.31757,174.2311444,77.9034532,75.4862986,5.49624381,0.30550386,11.57520371,2.54566538,0.41494987
caldas,176.55,91.34,53.88,5.02,1.37,10.14,13.77,1.02,187.94,98.09,59.46,2.27,5.32,13.41,8.27,1.13,135.94796,69.62302,44.08444,1.46774,0.11549245,13.12338,2.86587,2.14995,147.4472067,76.60200542,53.0574194,2.41281792,0.1067683,5.49517126,3.97263664,1.62805783
caqueta,108.73,40.11,29.98,4.81,2.3,8.72,22.65,0.16,82.09,41.66,18.58,1.98,2.52,6.2,11.03,0.11,70.53987,38.89919,20.77831,1.07119,0.43438691,2.74324,4.00398,0.04504914,47.44845926,17.77654463,14.43150419,2.63235286,0.43131431,2.81231104,3.04587565,0.13551073
casanare,64.54,32.29,17.04,0.53,0.86,7.56,5.79,0.47,88.49,38.76,27.55,6.45,1.89,6.77,6.77,0.3,62.56537,28.77103,16.69472,6.46073,0.4884854,5.63856,3.56306,0.25106998,82.67095465,34.73763535,31.54556699,0.77358527,0.34021783,3.66956356,8.91496229,0.53669588
cauca,302.46,123.9,89.21,12.79,2.97,33.88,38.08,1.63,332.43,162.82,110.24,17.67,5.19,23.97,11.75,0.79,389.97898,201.47847,125.5418,10.35817,1.49141,29.68099,11.97579,3.30258,324.8182323,162.4643528,96.1398554,15.32312246,1.39418553,27.7621542,13.54103329,1.73050659
cesar,173.96,94.29,40.83,4.84,3.6,12.69,17.36,0.34,235.09,124.91,62.03,4.57,3.7,19.46,17.59,2.83,198.41787,118.61778,41.54266,8.02816,0.72460829,10.77647,15.56725,1.03259,176.8649875,86.66021458,47.02276073,9.20462968,0.73524074,9.80424349,13.60169472,0.35889496
