departamento;hogares_total_2018;hogares_total_2018_cve;c_escritorio_total_2018;c_escritorio_total_2018_cve;c_portatil_total_2018;c_portatil_total_2018_cve;internet_total_2018;internet_total_2018_cve;internet_fijo_total_2018;internet_fijo_total_2018_cve;internet_movil_total_2018;internet_movil_total_2018_cve;hogares_cabecera_2018;hogares_cabecera_2018_cve;c_escritorio_cabecera_2018;c_escritorio_cabecera_2018_cve;c_portatil_cabecera_2018;c_portatil_cabecera_2018_cve;internet_cabecera_2018;internet_cabecera_2018_cve;internet_fijo_cabecera_2018;internet_fijo_cabecera_2018_cve;internet_movil_cabecera_2018;internet_movil_cabecera_2018_cve;hogares_centro_2018;hogares_centro_2018_cve;c_escritorio_centro_2018;c_escritorio_centro_2018_cve;c_portatil_centro_2018;c_portatil_centro_2018_cve;internet_centro_2018;internet_centro_2018_cve;internet_fijo_centro_2018;internet_fijo_centro_2018_cve;internet_movil_centro_2018;internet_movil_centro_2018_cve;hogares_total_2019;hogares_total_2019_cve;c_escritorio_total_2019;c_escritorio_total_2019_cve;c_portatil_total_2019;c_portatil_total_2019_cve;internet_total_2019;internet_total_2019_cve;internet_fijo_total_2019;internet_fijo_total_2019_cve;internet_movil_total_2019;internet_movil_total_2019_cve;hogares_cabecera_2019;hogares_cabecera_2019_cve;c_escritorio_cabecera_2019;c_escritorio_cabecera_2019_cve;c_portatil_cabecera_2019;c_portatil_cabecera_2019_cve;internet_cabecera_2019;internet_cabecera_2019_cve;internet_fijo_cabecera_2019;internet_fijo_cabecera_2019_cve;internet_movil_cabecera_2019;internet_movil_cabecera_2019_cve;hogares_centro_2019;hogares_centro_2019_cve;c_escritorio_centro_2019;c_escritorio_centro_2019_cve;c_portatil_centro_2019;c_portatil_centro_2019_cve;internet_centro_2019;internet_centro_2019_cve;internet_fijo_centro_2019;internet_fijo_centro_2019_cve;internet_movil_centro_2019;internet_movil_centro_2019_cve;hogares_total_2022;hogares_total_2022_cve;c_escritorio_total_2022;c_escritorio_total_2022_cve;c_portatil_total_2022;c_portatil_total_2022_cve;internet_total_2022;internet_total_2022_cve;internet_fijo_total_2022;internet_fijo_total_2022_cve;internet_movil_total_2022;internet_movil_total_2022_cve;hogares_cabecera_2022;hogares_cabecera_2022_cve;c_escritorio_cabecera_2022;c_escritorio_cabecera_2022_cve;c_portatil_cabecera_2022;c_portatil_cabecera_2022_cve;internet_cabecera_2022;internet_cabecera_2022_cve;internet_fijo_cabecera_2022;internet_fijo_cabecera_2022_cve;internet_movil_cabecera_2022;internet_movil_cabecera_2022_cve;hogares_centro_2022;hogares_centro_2022_cve;c_escritorio_centro_2022;c_escritorio_centro_2022_cve;c_portatil_centro_2022;c_portatil_centro_2022_cve;internet_centro_2022;internet_centro_2022_cve;internet_fijo_centro_2022;internet_fijo_centro_2022_cve;internet_movil_centro_2022;internet_movil_centro_2022_cve;hogares_total_2023;hogares_total_2023_cve;c_escritorio_total_2023;c_escritorio_total_2023_cve;c_portatil_total_2023;c_portatil_total_2023_cve;internet_total_2023;internet_total_2023_cve;internet_fijo_total_2023;internet_fijo_total_2023_cve;internet_movil_total_2023;internet_movil_total_2023_cve;hogares_cabecera_2023;hogares_cabecera_2023_cve;c_escritorio_cabecera_2023;c_escritorio_cabecera_2023_cve;c_portatil_cabecera_2023;c_portatil_cabecera_2023_cve;internet_cabecera_2023;internet_cabecera_2023_cve;internet_fijo_cabecera_2023;internet_fijo_cabecera_2023_cve;internet_movil_cabecera_2023;internet_movil_cabecera_2023_cve;hogares_centro_2023;hogares_centro_2023_cve;c_escritorio_centro_2023;c_escritorio_centro_2023_cve;c_portatil_centro_2023;c_portatil_centro_2023_cve;internet_centro_2023;internet_centro_2023_cve;internet_fijo_centro_2023;internet_fijo_centro_2023_cve;internet_movil_centro_2023;internet_movil_centro_2023_cve
total_nacional;15493,441447;0,003400;3191,077903;0,018200;4455,031722;0,019300;8159,023207;0,009900;6276,348994;0,013100;4525,411296;0,019000;12051,597656;0,003800;3068,459802;0,018700;4267,706327;0,019800;7599,941787;0,010200;6127,757552;0,013100;4071,649243;0,020700;3441,843791;0,002800;122,618101;0,038600;187,325396;0,029900;559,081421;0,017700;148,591442;0,042300;453,762053;0,018600;15999,300000;0,004000;2721,300000;0,018000;4167,200000;0,019000;8311,600000;0,009000;6326,500000;0,012000;4185,300000;0,017000;12221,400000;0,004000;2603,800000;0,018000;3946,100000;0,019000;7531,100000;0,009000;6092,600000;0,012000;3556,000000;0,019000;3441,843791;0,002800;122,618101;0,038600;187,325396;0,029900;559,081421;0,017700;148,591442;0,042300;453,762053;0,018600;17525,655278;0,334000;2425,002033;2,501000;4514,285356;2,051000;10421,732332;0,805000;7666,903319;1,222000;5836,841623;1,417000;13553,876303;0,586000;2326,031270;2,612000;4276,372838;2,176000;9142,122743;0,969000;7175,474293;1,332000;4870,876400;1,736000;3971,778975;1,259000;98,970762;5,227000;237,912518;3,732000;1279,609589;1,927000;491,429026;3,116000;965,965223;1,987000;18009,262990;0,003330;2297,016597;0,024300;4767,490122;0,020610;11514,350728;0,007620;8282,583221;0,011230;7039,819980;0,012650;13952,225526;0,004300;2211,962419;0,025160;4496,827347;0,021800;9832,905958;0,008840;7688,007541;0,012020;5692,721170;0,015540;4057,037464;0,003130;85,054177;0,051540;270,662775;0,031460;1681,444769;0,009660;594,575680;0,021540;1347,098811;0,011250
amazonas;22,200000;0,018300;0,600000;0,145100;2,400000;0,091400;1,100000;0,155700;0,300000;0,206700;1,000000;0,165400;8,200000;0,020700;0,500000;0,150400;2,100000;0,098700;0,900000;0,167900;0,200000;0,220600;0,800000;0,177700;14,000000;0,025500;0,100000;0,493600;0,300000;0,220600;0,200000;0,398700;0,000000;0,573500;0,200000;0,425700;22,300000;0,019000;0,400000;0,238000;1,500000;0,117000;2,200000;0,125000;0,200000;0,347000;2,100000;0,128000;12,000000;0,026000;0,400000;0,249000;1,200000;0,132000;1,800000;0,140000;0,200000;0,382000;1,700000;0,145000;14,000000;0,025500;0,100000;0,493600;0,300000;0,220600;0,200000;0,398700;0,000000;0,573500;0,200000;0,425700;21,745000;2,566000;0,795580;17,489000;2,981529;10,389000;8,167429;6,873000;0,913432;17,811000;7,659409;6,827000;12,182000;6,440000;0,715044;19,916000;2,355791;11,709000;5,603624;10,627000;0,751957;19,182000;5,222994;11,064000;9,563000;4,946000;0,080536;38,963000;0,625738;25,088000;2,563806;16,050000;0,161475;45,847000;2,436415;15,915000;26,859421;0,018480;1,218178;0,164200;3,831504;0,101150;7,810571;0,069320;1,049843;0,178560;6,989225;0,075500;17,066421;0,025040;1,046208;0,158160;3,399340;0,109240;6,322040;0,076550;1,044270;0,179460;5,500694;0,085140;9,793000;0,030700;0,171970;0,647040;0,432163;0,261230;1,488531;0,169550;0,005574;0,968060;1,488531;0,169550
antioquia;2147,167054;0,009800;486,123733;0,050600;656,484900;0,050800;1175,234196;0,028700;985,548196;0,035500;540,964727;0,049000;1691,085400;0,011500;467,781271;0,051900;625,924504;0,052300;1118,899374;0,028600;953,037171;0,035600;514,066888;0,049700;456,081655;0,011000;18,342461;0,118800;30,560396;0,083500;56,334821;0,078000;32,511024;0,116100;26,897840;0,107300;2132,500000;0,012000;444,300000;0,047000;595,800000;0,055000;1259,100000;0,026000;980,400000;0,033000;539,000000;0,050000;1712,600000;0,013000;417,300000;0,050000;556,900000;0,057000;1150,000000;0,028000;918,400000;0,033000;477,000000;0,050000;456,081655;0,011000;18,342461;0,118800;30,560396;0,083500;56,334821;0,078000;32,511024;0,116100;26,897840;0,107300;2406,166000;1,446000;320,113244;7,768000;694,666820;5,964000;1460,540954;2,699000;1141,596598;3,644000;737,766982;4,836000;1969,298000;2,258000;304,832874;8,226000;664,754766;6,314000;1341,497205;3,116000;1086,284042;3,958000;657,957449;5,473000;436,868000;5,778000;15,280369;16,959000;29,912054;14,160000;119,043748;8,387000;55,312556;12,082000;79,809533;8,505000;2484,784000;0,011290;225,231357;0,105370;753,477838;0,059460;1754,512347;0,024620;1319,202454;0,032500;860,705141;0,045080;2042,266000;0,013850;214,145325;0,110520;718,749451;0,062300;1515,457294;0,028430;1245,771314;0,034260;665,569111;0,057910;442,518000;0,009190;11,086031;0,152420;34,728387;0,091010;239,055052;0,025560;73,431140;0,075410;195,136030;0,031040
arauca;89,500000;0,013600;5,000000;0,093000;9,500000;0,091300;15,800000;0,071800;8,000000;0,091200;11,400000;0,085200;56,900000;0,015900;4,400000;0,098300;8,800000;0,094900;14,500000;0,074800;7,700000;0,093700;10,400000;0,087400;32,500000;0,023200;0,500000;0,272300;0,700000;0,244600;1,300000;0,167800;0,300000;0,265800;1,100000;0,203700;103,100000;0,011000;5,800000;0,122000;8,700000;0,104000;26,600000;0,066000;12,800000;0,084000;17,500000;0,091000;65,900000;0,014000;5,100000;0,129000;8,200000;0,108000;21,700000;0,077000;12,100000;0,085000;13,300000;0,110000;32,500000;0,023200;0,500000;0,272300;0,700000;0,244600;1,300000;0,167800;0,300000;0,265800;1,100000;0,203700;112,978548;1,838000;4,275449;16,431000;9,192877;11,254000;47,093941;4,739000;20,250725;7,685000;34,319528;5,937000;67,761000;5,206000;3,988141;17,587000;8,823428;11,698000;35,638774;6,797000;15,860894;9,699000;26,567517;7,987000;45,217548;7,455000;0,287308;35,208000;0,369449;33,322000;11,455167;11,791000;4,389831;14,736000;7,752011;14,024000;113,761658;0,010360;4,244050;0,133770;10,858486;0,094480;41,794478;0,037430;20,736819;0,069750;28,749723;0,045680;69,723000;0,016980;4,063069;0,138030;10,524813;0,096980;33,695659;0,040980;17,744128;0,076810;23,050415;0,049460;44,038658;0,015690;0,180981;0,526660;0,333673;0,286220;8,098820;0,094210;2,992692;0,161500;5,699308;0,118340
atlantico;644,500000;0,013500;108,000000;0,069300;191,700000;0,070800;358,300000;0,044600;277,300000;0,056000;179,700000;0,071400;616,900000;0,012700;107,400000;0,068300;190,200000;0,067800;354,800000;0,042100;276,800000;0,053800;176,400000;0,065600;27,600000;0,015600;0,700000;0,185300;1,500000;0,143100;3,600000;0,096900;0,500000;0,264500;3,400000;0,098600;679,000000;0,013000;90,000000;0,083000;171,200000;0,069000;340,300000;0,047000;254,900000;0,055000;156,000000;0,069000;639,000000;0,011000;89,300000;0,084000;169,400000;0,069000;334,300000;0,048000;254,100000;0,055000;150,500000;0,071000;27,600000;0,015600;0,700000;0,185300;1,500000;0,143100;3,600000;0,096900;0,500000;0,264500;3,400000;0,098600;774,342000;2,549000;92,913826;9,423000;220,679766;8,192000;412,806725;5,045000;368,393294;5,594000;156,591007;9,448000;735,597000;2,787000;92,009585;9,513000;218,089082;8,298000;405,943674;5,153000;364,758692;5,656000;151,255148;9,865000;38,745000;8,494000;0,904241;32,085000;2,590684;20,395000;6,863051;13,140000;3,634603;19,482000;5,335859;13,694000;795,247000;0,012800;79,834727;0,092440;213,712165;0,083600;469,789824;0,035690;383,676716;0,044630;283,893083;0,055700;755,754000;0,013580;79,248087;0,093090;211,650745;0,084410;455,736065;0,036850;379,203838;0,045160;271,673297;0,058410;39,493000;0,017460;0,586640;0,269160;2,061420;0,159390;14,053758;0,055680;4,472878;0,116840;12,219786;0,059330
bogota;2813,400000;0,014500;1067,600000;0,041700;1407,900000;0,048100;2125,200000;0,028300;1883,900000;0,032200;1142,400000;0,062700;2808,200000;0,012000;1067,200000;0,041500;1407,400000;0,047700;2124,500000;0,027500;1883,600000;0,031600;1141,800000;0,062400;5,200000;0,013900;0,400000;0,132000;0,500000;0,118100;0,800000;0,116100;0,300000;0,173600;0,600000;0,138700;2691,600000;0,015000;835,900000;0,038000;1248,000000;0,046000;2016,600000;0,023000;1862,900000;0,028000;871,600000;0,056000;2682,800000;0,014000;835,400000;0,038000;1247,400000;0,045000;2015,600000;0,023000;1862,500000;0,027000;871,000000;0,056000;5,200000;0,013900;0,400000;0,132000;0,500000;0,118100;0,800000;0,116100;0,300000;0,173600;0,600000;0,138700;2940,358000;1,871000;856,161299;5,544000;1266,869172;5,500000;2335,549495;2,661000;1954,423113;3,562000;1256,182008;4,766000;2930,681000;1,880000;855,267821;5,549000;1265,413305;5,506000;2332,114755;2,666000;1952,298121;3,566000;1254,234343;4,774000;9,677000;1,846000;0,893478;17,577000;1,455867;12,799000;3,434740;9,040000;2,124992;11,797000;1,947665;11,472000;3018,019000;0,013920;832,052867;0,049420;1333,363403;0,055100;2335,427614;0,025600;2059,246474;0,032110;1127,960660;0,056870;3007,895000;0,013980;831,293493;0,049470;1331,630215;0,055170;2327,805599;0,025690;2056,769368;0,032150;1120,967036;0,057230;10,124000;0,016050;0,759374;0,149790;1,733188;0,102780;7,622015;0,024310;2,477106;0,077520;6,993624;0,030300
bolivar;586,500000;0,009100;67,400000;0,085400;85,800000;0,085400;179,500000;0,054600;136,200000;0,067600;79,700000;0,079600;455,200000;0,010300;65,100000;0,088400;82,500000;0,088500;168,600000;0,057400;133,200000;0,068600;71,300000;0,087100;131,300000;0,014300;2,200000;0,230200;3,300000;0,165100;10,900000;0,118500;3,000000;0,244100;8,400000;0,126800;601,400000;0,010000;54,600000;0,107000;91,700000;0,095000;185,900000;0,063000;147,900000;0,077000;81,800000;0,091000;442,000000;0,011000;52,800000;0,104000;87,900000;0,098000;174,100000;0,066000;144,900000;0,076000;72,100000;0,100000;131,300000;0,014300;2,200000;0,230200;3,300000;0,165100;10,900000;0,118500;3,000000;0,244100;8,400000;0,126800;673,872000;2,976000;53,459466;11,924000;90,705012;10,769000;325,188231;5,065000;192,191729;7,640000;185,254217;4,874000;500,012000;4,916000;52,048723;12,243000;85,308605;11,508000;268,790839;6,476000;183,769004;8,114000;133,412735;7,590000;173,860000;5,649000;1,410743;36,773000;5,396407;30,472000;56,397392;8,667000;8,422725;23,461000;51,841482;8,875000;691,799000;0,009550;48,809414;0,112660;105,921963;0,088790;337,388850;0,037560;212,968421;0,057160;212,642785;0,056930;512,362000;0,013360;47,465432;0,115510;98,575441;0,093480;285,603533;0,043510;198,352187;0,060410;170,739627;0,070650;179,437000;0,012760;1,343983;0,329480;7,346523;0,274020;51,785316;0,060720;14,616234;0,152610;41,903158;0,059710
boyaca;426,000000;0,008300;53,100000;0,056200;102,300000;0,046300;208,000000;0,024000;112,500000;0,040400;147,600000;0,031600;249,900000;0,010800;48,000000;0,058600;92,000000;0,049300;159,300000;0,025600;110,200000;0,039700;100,600000;0,036600;176,100000;0,012500;5,200000;0,186600;10,200000;0,134600;48,700000;0,058000;2,200000;0,267800;47,000000;0,058800;447,200000;0,012000;48,700000;0,080000;80,700000;0,062000;158,600000;0,042000;99,300000;0,051000;101,800000;0,053000;263,200000;0,014000;45,500000;0,081000;71,900000;0,062000;134,000000;0,042000;94,600000;0,049000;79,600000;0,057000;176,100000;0,012500;5,200000;0,186600;10,200000;0,134600;48,700000;0,058000;2,200000;0,267800;47,000000;0,058800;440,630000;1,180000;27,805874;12,427000;109,773316;4,735000;238,397716;2,587000;137,840171;4,188000;159,404756;3,134000;273,404000;3,115000;23,057565;14,560000;96,111639;5,375000;178,383106;3,947000;119,637610;4,825000;108,658078;5,010000;167,226000;3,858000;4,748309;20,130000;13,661677;12,502000;60,014610;6,524000;18,202561;12,254000;50,746678;6,358000;448,147000;0,008250;27,587180;0,103100;124,543501;0,038190;273,915856;0,023420;146,121095;0,042270;206,365093;0,024840;280,911000;0,012400;25,717681;0,108900;113,593853;0,041140;194,303307;0,029970;126,099464;0,046720;138,183691;0,034140;167,236000;0,010650;1,869499;0,265390;10,949648;0,118830;79,612549;0,035260;20,021630;0,113750;68,181402;0,031320
caldas;324,100000;0,010400;53,200000;0,055200;95,000000;0,050800;147,600000;0,033200;134,800000;0,036000;62,500000;0,069600;238,600000;0,013000;49,600000;0,057900;89,900000;0,053100;140,100000;0,034200;131,100000;0,036200;58,000000;0,074100;85,600000;0,010900;3,600000;0,144000;5,200000;0,129500;7,500000;0,116300;3,700000;0,196200;4,500000;0,121600;350,100000;0,012000;42,000000;0,070000;96,200000;0,065000;162,200000;0,039000;134,200000;0,046000;64,700000;0,080000;267,700000;0,014000;39,300000;0,073000;91,700000;0,068000;151,300000;0,040000;129,100000;0,047000;57,600000;0,087000;85,600000;0,010900;3,600000;0,144000;5,200000;0,129500;7,500000;0,116300;3,700000;0,196200;4,500000;0,121600;363,093000;2,978000;40,864186;9,242000;112,315438;7,196000;227,145041;4,500000;183,557248;5,520000;96,357450;6,209000;286,099000;4,635000;38,586607;9,958000;106,619826;7,711000;200,626302;5,514000;173,001140;6,026000;77,093792;8,140000;76,994000;7,166000;2,277579;23,927000;5,695612;15,561000;26,518739;9,468000;10,556109;16,837000;19,263658;9,726000;371,210000;0,012380;34,758858;0,087030;123,384760;0,059260;223,762793;0,028970;197,994002;0,033290;92,232540;0,058040;294,063000;0,015930;33,179782;0,090480;117,380194;0,061830;202,219927;0,031710;186,844748;0,034760;77,425296;0,069270;77,147000;0,016020;1,579076;0,303250;6,004566;0,142030;21,542866;0,062600;11,149254;0,099330;14,807244;0,076320
caqueta;159,300000;0,007800;15,100000;0,088300;22,100000;0,071800;50,600000;0,045000;21,100000;0,074600;41,300000;0,049900;98,800000;0,010300;14,500000;0,091700;20,200000;0,076400;44,000000;0,046600;20,700000;0,075600;35,000000;0,052300;60,500000;0,011000;0,600000;0,233200;1,900000;0,197900;6,600000;0,115700;0,400000;0,390100;6,200000;0,115600;133,900000;0,011000;8,400000;0,107000;18,200000;0,074000;51,800000;0,038000;24,500000;0,063000;35,400000;0,048000;89,900000;0,013000;7,900000;0,111000;17,200000;0,077000;43,900000;0,040000;23,500000;0,064000;28,300000;0,054000;60,500000;0,011000;0,600000;0,233200;1,900000;0,197900;6,600000;0,115700;0,400000;0,390100;6,200000;0,115600;143,546000;2,858000;9,056421;13,470000;24,246839;8,988000;73,006127;4,149000;30,975117;8,582000;52,915723;4,413000;100,564000;5,952000;8,858885;13,784000;22,731375;9,733000;53,019533;7,426000;30,115967;8,855000;33,172185;9,306000;42,982000;7,748000;0,197536;29,494000;1,515464;16,875000;19,986595;10,262000;0,859150;30,150000;19,743538;10,278000;147,952000;0,011370;5,700403;0,141210;26,361160;0,076540;100,503541;0,025770;39,019584;0,056540;86,226288;0,031050;104,066000;0,016010;5,216028;0,152390;22,417534;0,087120;70,631098;0,035220;35,857771;0,057540;57,303528;0,044260;43,886000;0,017500;0,484375;0,277550;3,943625;0,137980;29,872443;0,033880;3,161813;0,240570;28,922760;0,038710
