departamento,poblacion_2018,poblacion_2019,poblacion_2022,poblacion_2023
total_nacional,15294565,15861618,17353412,17822544
amazonas,18795,19393,21480,22284
antioquia,2068433,2148743,2380069,2459427
arauca,81199,87416,99118,101821
atlantico,662034,694599,767686,787842
bogota,2564897,2664781,2915263,2991250
bolivar,583206,607741,667986,685822
boyaca,405730,414242,437989,445936
caldas,331218,338348,360491,368362
caqueta,126999,130561,142183,146321
casanare,139635,144373,155988,159424
cauca,509477,524244,569318,584984
cesar,343460,363059,407987,420487
choco,156425,161035,174877,179373
cordoba,537324,553298,598247,612852
cundinamarca,977601,1044682,1226847,1280887
guainia,10415,10919,12107,12448
guaviare,24678,25597,28472,29530
huila,337764,346048,371269,379803
la_guajira,242431,261180,303130,314732
magdalena,363207,380197,418169,428550
meta,341052,349895,375358,383705
narino,543653,553139,584496,596151
norte_de_santander,433292,457070,500202,510163
putumayo,129876,134597,148952,153975
quindio,183804,188262,202346,207604
risaralda,309408,316421,338389,346519
sanandres,20443,21227,23467,24066
santander,698582,722541,780023,796871
sucre,249562,259095,282936,290036
tolima,453804,461537,484869,492812
valle_del_cauca,1412075,1441540,1533143,1566471
vaupes,7156,7617,9141,9673
vichada,26930,28221,31414,32363
